,date,age,signs_of_mental_illness,body_camera,killed_unarmed,manner_of_death_shot,manner_of_death_shot and Tasered,gender_F,gender_M,race_Asian,race_Black,race_Hispanic,race_Native,race_Other,race_White,threat_level_attack,threat_level_other,threat_level_undetermined,flee_Car,flee_Foot,flee_Not fleeing,flee_Other
196,1426550400000000000,49.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
197,1426550400000000000,24.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
198,1426550400000000000,24.0,True,False,False,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
199,1426550400000000000,20.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
200,1426550400000000000,22.0,False,False,True,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
201,1426636800000000000,49.0,False,False,False,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
202,1426636800000000000,64.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
203,1426636800000000000,47.0,False,False,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
204,1426723200000000000,39.0,True,True,False,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
205,1426723200000000000,18.0,False,False,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
206,1426723200000000000,31.0,False,True,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
207,1426723200000000000,16.0,False,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
208,1426723200000000000,20.0,True,False,True,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
209,1426723200000000000,36.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
210,1426809600000000000,63.0,True,False,False,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
211,1426809600000000000,34.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
212,1426809600000000000,24.0,False,False,False,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
213,1426896000000000000,21.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
214,1426896000000000000,44.0,False,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
215,1426896000000000000,60.0,True,False,False,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
